# fpga_nets.tsv — FPGA net name / annotation table for awto-2000 (Hantek 2D82AUTO)
#
# PURPOSE
#   Human-maintained source of truth for FPGA net names, replacing auto-generated clk_N placeholders.
#   Loaded by load.py during rebuild → populates net_names table → used by chains.py / report2.py.
#   Same pattern as ghidra_names.tsv for firmware: edit here, run ./scripts/rebuild, names appear everywhere.
#
# CONFIDENCE LEVELS — mandatory, read by all tooling and AI agents
#   confirmed   Derived directly from bitstream, schematic, or physical measurement. Trust completely.
#   inferred    Strong structural reasoning (spatial proximity, fanout pattern, known subsystem).
#               Likely correct but not verified. AI-generated entries start here at best.
#   speculative An educated guess. Could be wrong. Do not act on this without independent verification.
#
# NAMING CONVENTION
#   Clock nets:  clk_<domain>_<function>
#     domain:    h0=HPBX0000 (125 MHz, CLKOS), h1=HPBX0100, h2=HPBX0200 (250 MHz, CLKOP)
#     function:  adc_cap=ADC capture pipeline, adc_enc=ADC encode clock output,
#                awg_dds=AWG DDS / waveform read, awg_wr=AWG EBR write, dac=DAC output register
#   Data nets:   <subsystem>_<noun>[_bit]
#     subsystem: adc, dac, awg, spi, trig, afe
#   Pad nets:    keep existing pad labels (ADC_D0A, DAC_CLK etc.) — confirmed in load.py from pin map
#
# COLUMNS
#   net         Internal net ID (nNNNN from prjtrellis extraction). Primary key for join to DB.
#   name        Canonical short name. Used in all report output instead of nNNNN.
#   type        clk | data | ctrl | pad | unknown
#   confidence  confirmed | inferred | speculative
#   freq_mhz    Clock frequency in MHz (clk type only), or blank
#   hpbx        HPBX spine (BRANCH_HPBX0000 / 0100 / 0200 / 0300), or blank
#   ff_count    Number of FFs clocked by this net (clk type only), or blank
#   notes       Free-form. For AI-generated entries: start with "AI:" and explain the reasoning chain.
#               For confirmed entries: cite the source (bitstream word, schematic ref, measurement).
#
# HOW TO ADD ENTRIES
#   1. Pick the right confidence level. When in doubt, use speculative.
#   2. Use the naming convention above.
#   3. Run ./scripts/rebuild to apply.
#   4. If analysis later confirms or refutes a speculative entry, update confidence and notes.
#
# WHAT NOT TO PUT HERE
#   - reg_rNcN_q[N] nets — auto-named by load.py from FF location, no value in duplicating
#   - pad_NN nets — auto-named from pin map
#   - Entries where confidence=speculative and notes is empty — write your reasoning or don't add it
#
# ─────────────────────────────────────────────────────────────────────────────────────────────────
# net	name	type	confidence	freq_mhz	hpbx	ff_count	notes
# ─────────────────────────────────────────────────────────────────────────────────────────────────

# ── Confirmed pad nets (from pin map + prjtrellis JQ/JA arcs) ─────────────────────────────────
n2237	clk_h1_ctrl_b	clk	speculative	62.5	BRANCH_HPBX0100	26	AI: 26 FFs, HPBX0100. Tiles r7-10 c13-16 approx. Chains.txt section 7: drives 2 FFs on R6C20 (AWG EBR write side). HPBX0100 = possibly SPI write clock for AWG table load. Speculative on frequency and role.
n2227	clk_h1_ctrl_c	clk	speculative	62.5	BRANCH_HPBX0100	26	AI: 26 FFs, HPBX0100. Tiles r7-10 c13-16. Below EBR. Role unknown. Speculative.
n2194	clk_h1_ctrl_d	clk	speculative	62.5	BRANCH_HPBX0100	24	AI: 24 FFs, HPBX0100. Below EBR. Role unknown. Speculative.
n2185	clk_h0_ebr_ctrl_a	clk	speculative	125	BRANCH_HPBX0000	10	AI: 10 FFs, 125 MHz. Chains.txt section 7: drives 1 FF on R6C14 and R6C7 write side. Small domain — likely a specific EBR control signal (write-enable gating or mode select). Speculative.
n2186	clk_h1_ebr_ctrl_b	clk	speculative	62.5	BRANCH_HPBX0100	10	AI: 10 FFs, HPBX0100. Chains.txt section 7: drives 1 FF on R6C14 and R6C7 write side. Small domain, HPBX0100. Likely EBR write control at slower clock. Speculative on frequency.
n1947	clk_h1_ctrl_e	clk	speculative	62.5	BRANCH_HPBX0100	16	AI: 16 FFs, HPBX0100. Role unknown. Speculative.
n2450	clk_h1_ctrl_f	clk	speculative	62.5	BRANCH_HPBX0100	16	AI: 16 FFs, HPBX0100. Role unknown. Speculative.
n2028	clk_h1_ctrl_g	clk	speculative	62.5	BRANCH_HPBX0100	12	AI: 12 FFs, HPBX0100. Role unknown. Speculative.
n1879	clk_h0_misc_a	clk	speculative	125	BRANCH_HPBX0000	9	AI: 9 FFs, 125 MHz. Role unknown. Speculative.
n2027	clk_h1_ctrl_h	clk	speculative	62.5	BRANCH_HPBX0100	8	AI: 8 FFs, HPBX0100. Role unknown. Speculative.
n2183	clk_h1_ctrl_i	clk	speculative	62.5	BRANCH_HPBX0100	6	AI: 6 FFs, HPBX0100. Role unknown. Speculative.
n2349	clk_h0_misc_b	clk	speculative	125	BRANCH_HPBX0000	4	AI: 4 FFs, 125 MHz. Role unknown. Speculative.
n2019	clk_h2_misc_a	clk	speculative	250	BRANCH_HPBX0200	4	AI: 4 FFs, 250 MHz. Role unknown. Speculative.
n2014	clk_h1_awg_spi	clk	speculative	62.5	BRANCH_HPBX0100	4	AI: 4 FFs, HPBX0100. Chains.txt section 7: drives 1 FF on R6C20 write side (AWG EBR). Small domain touching AWG EBR — possibly SPI write interface for AWG waveform table load. Speculative on frequency and role.
n2018	clk_h1_misc_a	clk	speculative	62.5	BRANCH_HPBX0100	2	AI: 2 FFs, HPBX0100. Role unknown. Speculative.
n2114	clk_h1_misc_b	clk	speculative	62.5	BRANCH_HPBX0100	2	AI: 2 FFs, HPBX0100. Role unknown. Speculative.
n2362	clk_h1_misc_c	clk	speculative	62.5	BRANCH_HPBX0100	2	AI: 2 FFs, HPBX0100. Role unknown. Speculative.

# ── AWG DDS phase accumulator address bus ─────────────────────────────────────
# R6C20 read-address ports (JC/JD) are driven by the DDS phase accumulator output.
# The 32-bit DDS accumulator runs at 250 MHz (clk_h2_awg_dds). The upper bits of
# the accumulator index into the 512-entry waveform table. These nets are the
# accumulator MSBs going into R6C20 read address pins.
n2353	awg_dds_addr_0	data	inferred				AI: JC0 read-address input to R6C20 (AWG EBR). Bit 0 of DDS phase accumulator output selecting waveform table entry. 250 MHz domain (clk_h2_awg_dds). Inferred from being a unique-to-R6C20 read-address port.
n2346	awg_dds_addr_1	data	inferred				AI: JC1 read-address input to R6C20. Bit 1 of DDS address.
n2432	awg_dds_addr_2	data	inferred				AI: JC3 read-address input to R6C20. Bit 2 of DDS address.
n2687	awg_dds_addr_3	data	inferred				AI: JC5 read-address input to R6C20. Bit 3 of DDS address.
n2352	awg_dds_addr_4	data	inferred				AI: JD0 read-address input to R6C20. Bit 4 of DDS address.
n2340	awg_dds_addr_5	data	inferred				AI: JD1 read-address input to R6C20. Bit 5 of DDS address.
n2171	awg_dds_addr_6	data	inferred				AI: JD2 read-address input to R6C20. Bit 6 of DDS address.
n2089	awg_dds_addr_7	data	inferred				AI: JD4 read-address input to R6C20. Bit 7 of DDS address.
n2438	awg_dds_addr_8	data	inferred				AI: JD5 read-address input to R6C20. Bit 8 of DDS address. (512-entry table = 9-bit address, so this is the MSB.)

# ── AWG waveform write data (MCU → R6C20 via SPI) ─────────────────────────────
n2347	awg_wdata_0	data	inferred				AI: JA0 write-data input to R6C20. Bit 0 of MCU waveform table entry written via SPI.
n2684	awg_wdata_1	data	inferred				AI: JA4 write-data input to R6C20. Bit 1 of AWG waveform data.
n2091	awg_wdata_2	data	inferred				AI: JA5 write-data input to R6C20. Bit 2 of AWG waveform data.
n2433	awg_wdata_3	data	inferred				AI: JB0 write-data input to R6C20. Bit 3 of AWG waveform data.
n2685	awg_wdata_4	data	inferred				AI: JB3 write-data input to R6C20. Bit 4 of AWG waveform data.
n2686	awg_wdata_5	data	inferred				AI: JB4 write-data input to R6C20. Bit 5 of AWG waveform data.
n2079	awg_wdata_6	data	inferred				AI: JB5 write-data input to R6C20. Bit 6 of AWG waveform data.

# ── AWG EBR read data (R6C20 → DAC pipeline) — additional bits ────────────────
# Earlier entries cover dob_0/1/2. R6C20 is 18-bit PDPW8KC, so up to 18 DOB bits.
# The JQ_src query showed only 3 nets but there may be more via JQ_ff path.
n2648	awg_ebr_lsr	ctrl	inferred				AI: JLSR0 (LSR = load/set/reset) ctrl input to R6C20 AWG EBR. Synchronous reset for the EBR. Likely tied to trigger/arm logic or SPI reset command.

# ── AWG/DAC output pipeline control ──────────────────────────────────────────
# ff_r10c19 (clk_h2_dac_out, CE=n786) feeds dpram_r9c20 and DAC latch LUTs.
# n786 is the pipeline enable — it gates whether DAC output FFs clock new data.
# n786 LUT inputs: n787 (R6C7/R6C10/R6C14 EBR DOB, ADC ring buffer read data),
#                  n267 (R6C7/R6C10 EBR DOB), n785 (unknown LUT/FF)
# Interpretation: n786 = data-valid CE for DAC output path. When ADC buffer
# read data satisfies the LUT condition, DAC FFs latch the data (AWG replay path
# or scope output mode).
n786	dac_out_ce	ctrl	inferred				AI: CE input to clk_h2_dac_out FFs at r10c19 (AWG/DAC pipeline). Driven by LUT r3c7_Dk1 whose inputs are EBR DOB nets from ADC ring buffer (R6C7/10/14). Data-valid enable — gates DAC output latching.

# ── EBR write address bus (JA4 on ADC ring buffer EBRs) ─────────────────────
# n2117: output of ff_r10c10_A0 (clk=clk_h1_ctrl_a, D=0, CE=1 — output latch).
# Feeds JA4 on R6C7, R6C10, R6C14 (ADC ring buffer EBRs). JA4 = write address bit.
# n2209 and n2663 also feed JA4 (see arc query). Part of write address bus.
n2117	ebr_waddr_4	data	inferred				AI: Output of ff_r10c10_A0 (clk_h1_ctrl_a, D=0, CE=1, output latch). Feeds JA4 write-address input on ADC ring buffer EBRs R6C7/10/14. EBR write address bit 4 (JA=lower write addr bits on PDPW8KC).
n2209	ebr_waddr_5	data	inferred				AI: Feeds JA4 on ADC EBRs (same bus as n2117/ebr_waddr_4). Write address bit 5. Source: arc trace at r6c EBR JA4.

# ── SPI register file EBR (R6C0) ─────────────────────────────────────────────
# R6C0 is a small EBR used as the SPI config register file. Confirmed from arc trace:
# FPGA_nCS (n2536) routes to R6C0 JB5 — write-enable controlled by chip-select.
# Only 4 data/addr/ctrl ports connected (very sparse = small register file, not a ring buffer).
# JQ0=n1027 and JQ1=n2101 are outputs (these were previously labelled ebr_r6c1_dob_0/1 —
# CORRECTION: JQ outputs at tile R6C0 (col=0) not R6C1 (col=1); re-check col numbering.
n2536	spi_ncs	ctrl	confirmed				Confirmed: FPGA_nCS input from MCU (STM32 PA4). Routes to R6C0 EBR JB5 (write-enable for SPI register file EBR). Active-low chip select gating all SPI register writes.
n2202	ebr_wclk	ctrl	inferred				AI: FF output ff_r7c8_B0 (clk=n2201, D=0, CE=1). Feeds JCLK1 at R6C3 ADC EBR and JB4 at R6C0/4/7/10. EBR write clock — NOT SPI address (corrected: initial guess was wrong, n2202 feeds EBR clock ports not address).
n1606	ebr_raddr_lut_in	data	inferred				AI: Input A to lut_r8c3_Bk1 → output n1099 (ebr_raddr_1). Part of EBR read address generation. NOT SPI data — misidentified initially from R6C0 JC4 port.
n2575	ebr_ctrl_b	ctrl	speculative				AI: Feeds R6C0 JD3 and R6C9 JD3. Origin at r6c8/12 routing. Role unclear — EBR control or SPI-adjacent. Needs further tracing before naming confidently.

# ── EBR DOB CE nets (SPI burst read path) ────────────────────────────────────
# n806/n804 gate CE on clk_h2_spi_ser_a FFs (r10c11-13). These enable the SPI
# output shift register when there is valid EBR read data to send.
# Inputs to their LUTs (r3c8): n776(EBR DOB), n778(EBR DOB), n805(LUT), n588(EBR DOB)
n806	spi_ser_ce_a	ctrl	inferred				AI: CE input to clk_h2_spi_ser_a FFs at r10c11. Gates SPI output serializer. Driven by LUT r3c8_Dk1 whose inputs include EBR DOB nets n776/n778/n588 — likely byte-valid or bit-counter enable for SPI burst read output.
n804	spi_ser_ce_b	ctrl	inferred				AI: CE input to clk_h2_spi_ser_a FFs at r10c11/13. Companion enable to spi_ser_ce_a from same LUT (r3c8_Dk0). Controls second set of serializer bits.
n2460	spi_ser_ce_c	ctrl	inferred				AI: CE input to clk_h2_spi_ser_a FFs at r10c12. Third serializer enable, different LUT source (r3c12 area). Possibly byte boundary or channel-select gate.

# ── SPI read-side CE nets (clk_h2_spi_rd FFs at r10c1) ──────────────────────
n1419	spi_rd_ce_a	ctrl	inferred				AI: CE input to clk_h2_spi_rd FFs at r10c1 A/B slice. Driven by LUT r8c10_Bk0 with inputs n559(EBR DOB from R6C14/R6C7/R6C10), n1259, n1261, n1420. Read-enable for SPI burst readout of ADC ring buffer.
n556	spi_rd_ce_b	ctrl	inferred				AI: CE input to clk_h2_spi_rd FFs at r10c1 C slice. Driven by LUT r3c11_Bk1 with inputs n553/n557/n558/n559. Second read-enable gate for SPI output path.
n2448	spi_rd_ce_c	ctrl	inferred				AI: CE input to clk_h2_spi_rd FFs at r10c1 D slice. Third read-enable variant — possibly for channel-B or burst-count boundary.

# ── ADC DDR deserialiser path (rows 4-5, cols 1-5) ───────────────────────────
# The LUT cluster at r5c1–r5c4 implements DDR deserialisation of the serial ADC
# data bus. Init 0001000100011110 computes: if ENCB=0 → XOR(data, prev); if ENCB=1 →
# NOT(data). Together the two half-cycles reconstruct parallel bits from the DDR stream.
# ADC_ENCB is both the encode clock sent to the ADC and the deserialiser mux select.
#
# The 0101010101011010 single-input BUF LUTs at rows 2-4 are pure routing buffers
# — only the bottom 2 bits of the init are reachable (NC fixes upper inputs to 0).
# These fan out register bits across CIB routing tracks that can't be reached directly.
#
# The 1001100110011010/1001100110011100 2-input LUTs at cols 4-6 rows 2-3 are also
# routing BUF/BUF pairs — one LUT passes input A, the other passes input B — used to
# hop signals across adjacent CIB columns where direct routing is not available.
#
# Key ghost nets (fanin=0 — driven by EFB hard IP, not recoverable from bitstream):
n35	spi_efb_byte_valid	ctrl	speculative				AI: Ghost net (fanin=0, fanout=24). Appears alongside reg_r10c5_q[2] (SPI shift reg bit 2) in 24 LUTs spread across rows 2-4. Most likely a byte-valid or burst-count flag from the EFB/config SPI controller — asserted when a complete SPI byte has been shifted in. Could also be a trigger-arm status bit from the JTAG EFB port.
n492	spi_efb_addr	ctrl	speculative				AI: Ghost net (fanin=0, fanout=13). Appears in SPI control LUTs at r2c6, r4c8/9/10, r5c10 alongside ebr_clk2 and reg_r9c1_q[2]. Likely an SPI register address bit or EFB wishbone read-strobe from the fabric-invisible EFB SPI slave or config controller.
n897	spi_efb_ctrl	ctrl	speculative				AI: Ghost net (fanin=0, fanout=6). Appears in r4c17/r5c12/r5c16 CE logic — NAND(n897, nXXXX) pattern used as FF enable gate. Likely EFB control output (byte-done, CE mask) gating write-enables of the SPI output pipeline FFs.
# n274/n277/n278/n315 are intermediate nets in the ADC calibration path:
# n277 = INV(ADC_D1A) via dpram_r4c14_d0k1; n278 = INV(ADC_D1B) via dpram_r3c16_d0k1
# n315 = INV(n2873) where n2873 is a ghost (fanin=0, fanout=2) — likely calib reference
# n384 = COMBO3(a,c,d) output of lut_r3c12_Ak1, high fanout (17), feeds SPI/trigger path

# ── AWG serialiser gate ────────────────────────────────────────────────────────
# n646 is a COMBO4 result from lut_r4c17_Bk1 with inputs from reg_r3c19_q[1],
# reg_r3c20_q[0/1/7] — the AWG EBR output registers (clk_h0_awg_wr domain).
# Drives 13 LUTs at r3c19/r3c20/r4c20 which are the 0101/0011 AWG serialiser
# staging LUTs. This is the waveform-select or sample-valid gate for the AWG output bus.
n646	awg_sample_gate	ctrl	speculative				AI: COMBO4 output of lut_r4c17_Bk1, inputs from reg_r3c19_q[1] and reg_r3c20_q[0/1/7] (clk_h0_awg_wr EBR output registers). Drives 13 AWG serialiser LUTs at r3c19/r3c20/r4c20. Acts as waveform-valid or sample-select gate for the AWG data bus serialisation into the DAC pipeline.

# ── ADC sample routing buffers (LUT outputs buffering/inverting ADC data bits) ─────────
# n25 = INV(ADC_D7A): output of dpram_r4c11_d1k0 = INV(n2783=ADC_D7A).
# Drives 9 cells (dpram r3c15 + LUTs r10c11/r10c12/r3c12/r4c12/r4c13) in ADC Ch A
# capture pipeline (cols 10-15, rows 2-4). ADC bit 7 MSB inverted for pipeline routing.
n25	adc_a_d7_inv	data	inferred				AI: LUT output dpram_r4c11_d1k0 expr=INV(n2783)=INV(ADC_D7A). Fanout 9 — drives dpram write-data at r3c15 and capture LUTs at r10c11/r10c12/r3c12/r4c12/r4c13. ADC Ch A bit 7 (MSB) inverted for distribution to the capture pipeline. Confirmed from lut_symbolic: INV(ADC_D7A).
# n47: driven by dpram_r4c15_d1k1 = INV(n2846). n2846 is a ghost net (fanin=0, no pad).
# Drives 9 cells including dpram r9c12 (below-EBR SPI area) and LUTs at r2c15/r3c14/r4c13-17
# (ADC Ch A/B interleave zone). Ghost n2846 suggests EFB output or static constant.
n47	adc_interleave_inv	ctrl	speculative				AI: LUT output dpram_r4c15_d1k1 = INV(n2846) where n2846 is a ghost net (fanin=0, no pad driver). Fanout 9 — drives dpram_r9c12 (below-EBR SPI), dpram_r4c15, LUTs at r2c15/r3c14/r4c13-17. Ghost source ambiguous: could be EFB SPI controller output, JTAG register bit, or static 0/1. Drives cells across both ADC interleave zone (r4c13-17) and SPI area (r9c12). Speculative — ghost origin and role unclear.

# ── High-fanout CE / LSR nets for named register clusters ────────────────────
# n54: NAND(n55, n56) from lut_r10c13_Bk0. n55=ff_r4c18_D1 tick, n56=LSR of same FF cluster.
# NAND(en, rst) = CE active only when not in reset. Controls 16 FFs at r10c7-c9 on
# clk_h0_spi_ctrl_b/a domains producing reg_r10c7_q[1..7], reg_r10c8_q[0..7].
n54	spi_ctrl_ce	ctrl	inferred				AI: NAND(n55, n56) from lut_r10c13_Bk0. n56 is also the LSR of the same r10c7/c8/c9 FF cluster — classic "ce = running & !rst" pattern. Controls 16 FFs in clk_h0_spi_ctrl_b (n2191) and clk_h0_spi_ctrl_a (n2201) domains. Q outputs = reg_r10c7_q[1..7], reg_r10c8_q[0..7] — SPI control state machine output shift register. Inferred from NAND(en,rst) shape and FF cluster context.
# n912: NAND(n55, n913) — same n55 tick, n913=ff_r7c16_B0 from clk_h0_spi_rd_a.
# Controls 15 FFs at r2c1-r2c3 on clk_h0_dac_enc (n1858). Q = reg_r2c1_q[1..7] etc.
# n913 also drives LSR of the same FFs — same "ce = run & !rst" pattern.
n912	dac_enc_ce	ctrl	inferred				AI: NAND(n55, n913) from lut_r4c18_Dk1. n913 also drives LSR of the same r2c1-r2c3 FF cluster — "ce = run & !rst" pattern. Controls 15 FFs in clk_h0_dac_enc (n1858) domain at rows r2c1-r2c3 (left edge near DAC pins). Q = reg_r2c1_q[1..7], reg_r2c2_q[0..7], reg_r2c3_q[0..]. DAC encode register cluster CE. Inferred from NAND(en,rst) pattern and DAC-adjacent spatial position.
# n1881: CE for 16 FFs spanning r2c7/r4c2/r5c1/r9c6 across four clock domains.
# Q outputs include n776=ebr_arm (ff_r2c7_A1, clk_h2_adc_a_pipe) — the EBR capture arm flag.
# Multi-domain CE = EBR arm synchroniser enable, gates the arm register into all domains.
n1881	ebr_arm_ce	ctrl	inferred				AI: CE for 16 FFs at r2c7/r4c2/r5c1/r9c6 in four clock domains (clk_h2_adc_a_pipe n1877, clk_h2_misc_a n2019, clk_h2_spi_rd n1944, clk_h2_spi_ser_c n2198). Q outputs include n776=ebr_arm (ff_r2c7_A1), n40=reg_r2c7_q[2], n557=reg_r2c7_q[3] (EBR arm state bits), reg_r5c1_q[2], reg_r3c1_q[2]. Spans clock domains → EBR arm register enable, ensuring the arm signal propagates simultaneously into all pipeline clock domains. Inferred from ebr_arm being among the controlled FF outputs.
# n1060: CE for 12 FFs at r3c19-r4c20 (AWG output staging, adj. to R6C20 EBR).
# Driver = n897 | (n898 & n899) where n897=spi_efb_ctrl (EFB ghost).
n1060	awg_reg_ce	ctrl	inferred				AI: CE for 12 FFs at r3c19-r4c20 in clk_h0_adc_b_pipe (n1928) and clk_h0_awg_wr (n1942) domains. Spatial location adjacent to AWG EBR R6C20. Driver = lut_r5c12_Bk1: n897 | (n898 & n899), n897=spi_efb_ctrl (EFB ghost). CE asserted when EFB ctrl active OR n898&n899 condition. Controls AWG output staging registers (reg_r3c19_q, reg_r3c20_q, reg_r4c20_q). Inferred from AWG-zone spatial position and EFB-controlled gate expression.
# n1135/n1136: companion CE and LSR for the same FF cluster at r2c19-r2c20 (AWG output).
# n1135 CE driver: n1136 | (n640 & n641 & !n642) — CE triggered by reset or data condition.
# n1136 LSR driver: n1133 | !n1137 — reset from reg_r8c20_q[1] (DAC pipeline state) or ghost.
n1135	awg_out_ce	ctrl	inferred				AI: CE for 12 FFs at r2c19-r2c20 (AWG output registers, adjacent to R6C20). Companion to n1136 (LSR for same FFs). Driver = lut_r5c19_Bk0: n1136 | (n640 & n641 & !n642). n640=ghost (fanin=0), n641=reg_r4c18_q[6], n642=LUT decode. CE asserted when LSR is active OR specific data gate condition met. AWG write path output staging CE. Inferred from AWG spatial position and companion LSR relationship.
n1136	awg_out_lsr	ctrl	inferred				AI: LSR (synchronous reset) for 12 FFs at r2c19-r2c20 (AWG output staging registers). Also drives input C of lut_r5c19_Bk0 (n1135 CE). Driver = lut_r5c19_Bk1: n1133 | !n1137. n1133=reg_r8c20_q[1] (clk_h2_dac_out DAC pipeline), n1137=ghost (fanin=0). Reset asserted when DAC output pipeline state indicates completion OR when ghost net low. Companion reset to n1135 CE in the AWG output staging path. Inferred from AWG zone and companion CE relationship.
# n612: CE for 11 FFs producing ebr_waddr_0/1, ebr_b_waddr_0/1/2, ebr_raddr_1/3,
# ebr_arm, ebr_arm_b — the core EBR address bus and arm signals.
# Driver: n613 | (!n614 & n615) where n613/n614/n615 are all ghost nets (fanin=0).
n612	ebr_waddr_ce	ctrl	inferred				AI: CE for 11 FFs producing ebr_waddr_0, ebr_waddr_1, ebr_b_waddr_0/1/2, ebr_raddr_1/3, ebr_arm, ebr_arm_b — the EBR address bus + arm signals. Spans clk_h2_adc_wr_l/spi_ser_c/adc_waddr domains. Driver = lut_r3c15_Dk0: n613 | (!n614 & n615), n613/n614/n615 all ghost (fanin=0). Ghost-controlled CE = asserted by EFB hard IP. This is the "start capture / arm EBR write" enable from the SPI or JTAG controller. Inferred from the set of controlled signals (entire EBR address bus + arm).

# ── n384: 2:1 mux select for ADC pipeline data path ─────────────────────────
# Drives 17 LUTs (cols 2-16 rows 2-5) all implementing (n384&A) | (!n384&B) patterns.
# Selects between pairs of pipeline register outputs — ADC channel or stage mux.
# Driver = lut_r3c12_Ak1: n276 | (n567 & n274). n276=reg_r2c14_q[2], n274/n567=ghost/unnamed.
n384	adc_mux_sel	ctrl	inferred				AI: Drives 17 LUTs in rows 2-5 cols 2-16, all implementing 2:1 mux: (n384&A)|(!n384&B). Selects between pairs including reg_r3c18/r10c18_q, reg_r8c2/r5c11_q[0], reg_r5c18/r7c10_q, reg_r5c18/r5c16_q, reg_r5c10/r5c18_q, reg_r7c9/r5c16_q. Driver = lut_r3c12_Ak1: n276 | (n567&n274) where n276=reg_r2c14_q[2], n274=ghost. Pipeline stage selector in ADC data path — likely ADC channel mux or capture-vs-replay mode switch. Inferred from pervasive 2:1 mux pattern across ADC pipeline zone.

# ── n1066: 3-way mux select for SPI serialiser data path ────────────────────
# Drives 13 LUTs at r5c13 and r7-9c14/15 in 3-way expressions: (A&n613)|(B&!n1066&!n613).
# Controls which register group (reg_r5c3, reg_r8c3, reg_r9c5, reg_r9c6) flows to SPI output.
# Driver = lut_r7c9_Ak1: (n1107&n776) | (n1107&n1230&n1231). n1107=ebr_arm_b, n776=ebr_arm.
n1066	spi_ser_mux_sel	ctrl	inferred				AI: Drives 13 LUTs at r5c13 and r7-9c14/15 in 3-way mux: (A&n613)|(B&!n1066&!n613) — second select in a 3-input pipeline demux (n613 is first select). Routes register groups reg_r5c3_q/reg_r8c3_q/reg_r9c5_q/reg_r9c6_q to SPI serialiser output. Driver = lut_r7c9_Ak1: (n1107&n776)|(n1107&n1230&n1231), n1107=ebr_arm_b, n776=ebr_arm. SPI serialiser output data path mux, activated when EBR arm signals are set. Inferred from 3-way mux pattern and ebr_arm dependency.

# ── n1120: state signal in AWG/SPI pipeline zone ────────────────────────────
# Drives 15 LUTs at r5c16-19, r7c16-19 (AWG output pipeline). Appears in expressions
# with n1121=reg_r5c19_q[4], n1128=reg_r7c19_q[6], n1133=reg_r8c20_q[1],
# n1134=reg_r9c19_q[7] — all right-side AWG/SPI state registers. No symbolic entry found
# for its driver (lut_r4c11_Ck0 missing from lut_symbolic).
n1120	awg_spi_ctrl	ctrl	speculative				AI: Drives 15 LUTs at r5c16-19 and r7c16-19 (AWG/SPI output pipeline). Appears alongside n1121=reg_r5c19_q[4], n1128=reg_r7c19_q[6], n1133=reg_r8c20_q[1] in expressions like n1121&n1120&n1128, !n1121&n1120, n1120|n1119|!n1121. Likely a state machine control bit or mode flag in the AWG-to-SPI output path. Driver lut_r4c11_Ck0 has no symbolic entry — raw LUT inputs not fully resolved. Speculative on exact role.

# ── ADC pipeline LSR/enable nets ─────────────────────────────────────────────
# n525: LSR for 4 FFs + drives 5 LUTs in reset cascade. Driver = NOR(n542, n269).
# n542=reg_r8c15_q[0] (below-EBR state), n269=reg_r3c12_q[3] (ADC pipeline counter).
# LSR for ADC Ch A pipeline FFs (r3c9/r4c9) and SPI output FFs (r7c11/r7c7).
n525	adc_pipe_lsr_a	ctrl	inferred				AI: LSR for ff_r3c9_A0 (clk_h2_adc_a_pipe), ff_r4c9_A0 (n1877), ff_r7c11_D0 (clk_h2_spi_ser_a), ff_r7c7_C0 (clk_h2_spi_ser_c). Also drives 5 LUTs in the local reset cascade. Driver = lut_r3c10_Bk0: NOR(n542, n269) where n542=reg_r8c15_q[0] (below-EBR SPI state) and n269=reg_r3c12_q[3] (ADC pipeline counter). Reset asserted when EITHER control register is set. Two-condition pipeline reset for ADC startup or capture completion. Inferred from NOR-reset pattern and spatial context in ADC capture path (r3c9/r4c9) and SPI output (r7c7/r7c11).
# n547: Dual role — LSR for r3c10/r3c11 ADC ctrl FFs AND CE for r3c18/r5c11/r5c17.
# Driver = !n546 & n55 where n546=reg_r3c10_q[4] (ADC ctrl counter), n55=pipeline tick.
n547	adc_ctrl_en	ctrl	inferred				AI: Dual role — LSR for ff_r3c10_C0 and ff_r3c11_A0 (clk_h0_adc_ctrl n1891, producing reg_r3c10_q[4]=n546 and reg_r3c11_q[0]=n565); AND CE for 8 FFs at r3c18/r5c11/r5c17 (clk_h0_adc_b_pipe n1928). Q of CE targets = reg_r3c18_q[0/1], reg_r5c11_q[0], reg_r5c17_q[0/2/3]. Driver = lut_r3c10_Ck1: !n546 & n55. Asserted when ADC ctrl counter reset AND pipeline tick active. Reset for ADC ctrl FFs; CE launch for downstream pipeline FFs. ADC pipeline launch signal. Inferred from !counter&tick pattern and pipeline-adjacent spatial position.

# ── Below-EBR SPI state machine CE nets (one-hot state decoder outputs) ──────
# The following 9 CE nets decode a state machine whose bits include:
#   n776=ebr_arm, n40=reg_r2c7_q[2], n559=reg_r9c11_q[1], n281=reg_r2c10_q[3],
#   n780=NAND(n42,n43), n775/n777=ghost (fanin=0), n41/n38=ghost/LUT-decode.
# Each CE activates a distinct register cluster in the below-EBR SPI serialiser.
# They implement a one-hot state decode for different phases of the SPI burst read.
n1696	spi_state_dec_0	ctrl	inferred				AI: CE for 8 FFs at r5c6 (clk_h2_adc_a_pipe n1877) and r9c3 (clk_h2_spi_ser_b n2188). Driver = lut_r9c10_Bk0 init 0x0001 (COMBO4): !n776 & !n38 & !n40 & !n41. Asserted in "idle/pre-arm" state: ebr_arm=0, n38=0, n40(reg_r2c7_q[2])=0, n41(ghost)=0. Q = reg_r5c6_q[0..5], reg_r9c3_q[4/5]. One-hot state decode for SPI burst read idle phase. Inferred from one-hot COMBO4 init and state signal composition.
